drug,company,indication,phase_start,outcome,year,moa_precedent,biomarker_enriched,safety_profile,competitive_pressure,endpoint_type,notes
venetoclax+azacitidine,AbbVie/Roche,AML (ineligible for intensive),phase_3,approved,2020,partial,false,acceptable,moderate,hard_clinical,"VIALE-A: OS 14.7 vs 9.6 months (HR 0.66); BCL-2+HMA; transformed AML standard of care"
ivosidenib (Tibsovo),Agios/Servier,AML IDH1-mutant,phase_2,approved,2018,novel,true,acceptable,low,surrogate_validated,"Phase 1/2: 41% CR/CRh; IDH1 inhibitor; first targeted AML therapy for IDH1"
enasidenib (Idhifa),Agios/BMS,AML IDH2-mutant,phase_2,approved,2017,novel,true,acceptable,low,surrogate_validated,"Phase 1/2: 23% ORR in R/R; IDH2 inhibitor; accelerated; differentiation syndrome risk"
gilteritinib (Xospata),Astellas,AML FLT3-mutant R/R,phase_3,approved,2018,novel,true,acceptable,low,hard_clinical,"ADMIRAL: OS 9.3 vs 5.6 months (HR 0.64); FLT3 inhibitor; first approved FLT3 monotherapy"
glasdegib,Pfizer,AML (ineligible),phase_2,approved,2018,novel,false,acceptable,moderate,surrogate_validated,"BRIGHT AML 1003: OS 8.8 vs 4.9 months; Hedgehog pathway (SMO); limited uptake vs venetoclax"
magrolimab,Gilead,AML,phase_3,failed,2024,novel,false,acceptable,moderate,hard_clinical,"ENHANCE: OS no benefit added to azacitidine; CD47 'don't eat me' signal; Ph3 halted"
luspatercept (Reblozyl),Acceleron/BMS,MDS with ring sideroblasts,phase_3,approved,2020,novel,false,acceptable,low,hard_clinical,"MEDALIST: 38% vs 13% RBC transfusion independence; TGF-beta trap; first new MDS mechanism"
luspatercept (Beta-thal),Acceleron/BMS,Beta Thalassemia,phase_3,approved,2020,partial,false,acceptable,moderate,hard_clinical,"BELIEVE: 21% transfusion burden reduction ≥33%; TGF-beta trap extended to thalassemia"
imetelstat,Geron/J&J,Lower-risk MDS,phase_3,approved,2024,novel,false,acceptable,low,hard_clinical,"IMerge: 39.8% vs 15% transfusion independence ≥8 weeks; telomerase inhibitor; first in class"
decitabine/cedazuridine (Inqovi),Astex,MDS,phase_3,approved,2020,partial,false,acceptable,moderate,hard_clinical,"ASTX727-02: AZA equivalent DNA methylation; CDA inhibitor enables oral hypomethylating"
emicizumab (Hemlibra),Roche,Hemophilia A,phase_3,approved,2017,novel,false,clean,low,hard_clinical,"HAVEN-1: 87% ABR reduction; bispecific FIXa/FX bridging; subcutaneous once-weekly; paradigm shift"
concizumab,Novo Nordisk,Hemophilia A/B,phase_3,advanced,2023,novel,false,acceptable,moderate,hard_clinical,"explorer8 Ph3 ongoing; anti-TFPI; subcutaneous prophylaxis; paused for thromboembolic events then resumed"
fitusiran,Sanofi,Hemophilia A/B,phase_3,approved,2024,novel,false,acceptable,moderate,hard_clinical,"ATLAS-A/B: 90% bleed rate reduction; AT-reduction RNAi; once-monthly subcutaneous"
daratumumab (combo),J&J,Multiple Myeloma,phase_3,approved,2016,partial,false,acceptable,moderate,hard_clinical,"CASTOR/POLLUX: PFS improvement in R/R; CD38 monoclonal; transformed frontline myeloma"
elotuzumab,BMS/AbbVie,Multiple Myeloma R/R,phase_3,approved,2015,novel,false,acceptable,high,hard_clinical,"ELOQUENT-2: PFS HR 0.70 with Rd; SLAMF7; modest single-agent; limited commercial uptake"
carfilzomib (Kyprolis),Amgen,Multiple Myeloma R/R,phase_3,approved,2012,partial,false,acceptable,high,hard_clinical,"Phase 2 ORR 23.7%; irreversible proteasome inhibitor; superior to bortezomib in ENDEAVOR"
ixazomib (Ninlaro),Takeda,Multiple Myeloma,phase_3,approved,2015,partial,false,acceptable,high,hard_clinical,"TOURMALINE-MM1: PFS 20.6 vs 14.7 months; oral proteasome inhibitor; convenient but modest"
ruxolitinib (Jakafi),Incyte,Myelofibrosis,phase_3,approved,2011,novel,false,acceptable,low,hard_clinical,"COMFORT-I/II: spleen volume -35% response 41% vs 0%; JAK1/2; transformed MF treatment"
pacritinib (Vonjo),CTI BioPharma,Myelofibrosis (cytopenic),phase_3,approved,2022,partial,false,acceptable,low,hard_clinical,"PERSIST-2: spleen response 29% vs 3% in platelet <50K; JAK2/IRAK1; cytopenic niche"
momelotinib (Ojjaara),GSK,Myelofibrosis (anemia),phase_3,approved,2023,partial,false,acceptable,moderate,hard_clinical,"MOMENTUM: symptom response 25% vs 9%; JAK1/2/ACVR1; first label for anemia in MF"
fedratinib (Inrebic),Celgene/BMS,Myelofibrosis,phase_3,approved,2019,partial,false,acceptable,moderate,hard_clinical,"JAKARTA: spleen response 36% vs 1%; JAK2/FLT3; Wernicke's encephalopathy signal"
navitoclax,AbbVie,Myelofibrosis (add-on),phase_2,failed,2022,partial,false,poor,moderate,hard_clinical,"REFINE: thrombocytopenia dose-limiting; BCL-XL inhibitor; failed to reach registration dose"
pelabresib,MorphoSys/Constellation,Myelofibrosis,phase_3,failed,2024,novel,false,acceptable,moderate,hard_clinical,"MANIFEST-2: missed spleen volume reduction primary endpoint; BET inhibitor; 2nd failed MF add-on"
ropeginterferon (Besremi),PharmaEssentia,Polycythemia Vera,phase_3,approved,2021,partial,false,acceptable,low,hard_clinical,"PROUD-PV/CONTINUATION-PV: hematological remission 61% vs 21%; monopegylated IFNa; durable remission"
rusfertide,Protagonist,Polycythemia Vera,phase_2,advanced,2023,novel,false,clean,low,hard_clinical,"REVIVE Ph2: phlebotomy-free 79% vs 28%; TMPRSS6 inhibitor; Ph3 VERIFY ongoing"
blinatumomab (Blincyto),Amgen,ALL (B-cell R/R),phase_2,approved,2014,novel,false,acceptable,low,surrogate_validated,"Phase 2: ORR 43% in Ph- R/R B-ALL; CD19xCD3 BiTE; first BiTE approval; MRD endpoint"
inotuzumab (Besylomys),Pfizer,ALL (B-cell R/R),phase_3,approved,2017,partial,false,acceptable,low,hard_clinical,"INO-VATE: CR 80.7% vs 29.4%; CD22-calicheamicin ADC; veno-occlusive disease risk"
tafasitamab,MorphoSys/Incyte,DLBCL,phase_2,approved,2020,partial,false,acceptable,low,surrogate_validated,"L-MIND: ORR 57.5%, median DoR 43.9 months; CD19; accelerated approval; R/R DLBCL"
loncastuximab,ADC Therapeutics,DLBCL R/R,phase_2,approved,2021,partial,false,acceptable,high,surrogate_validated,"LOTIS-2: ORR 48.3%; CD19-SG33 ADC; third-line and beyond; limited durability"
mosunetuzumab (Lunsumio),Genentech,Follicular Lymphoma R/R,phase_2,approved,2022,novel,false,acceptable,moderate,surrogate_validated,"Phase 2: CR 60%; CD20xCD3 bispecific; fixed-duration; first off-the-shelf bispecific NHL"
azacitidine (Onureg oral),AstraZeneca,AML maintenance,phase_3,approved,2020,partial,false,acceptable,moderate,hard_clinical,QUAZAR AML-001: OS 24.7 vs 14.8 months (HR 0.69); oral azacitidine; first maintenance AML
midostaurin (Rydapt),Novartis,AML FLT3-mutant,phase_3,approved,2017,partial,true,acceptable,moderate,hard_clinical,RATIFY: OS HR 0.78; FLT3/PKC inhibitor; first FLT3 approval with chemotherapy
gemtuzumab (Mylotarg),Pfizer,AML CD33,phase_3,approved,2017,partial,false,acceptable,moderate,hard_clinical,ALFA-0701: 3-yr EFS 40.8% vs 17.1%; CD33 ADC; re-approved with lower dose after withdrawal
venetoclax+azacitidine AML combo,AbbVie/Roche,AML newly diagnosed,phase_3,approved,2020,partial,false,acceptable,moderate,hard_clinical,VIALE-A: CR 36.7% vs 17.9%; BCL-2+HMA; transformed unfit AML standard of care
quizartinib (Vanflyta),Daiichi Sankyo,AML FLT3-ITD,phase_3,approved,2023,partial,true,acceptable,moderate,hard_clinical,QuANTUM-R: OS 6.2 vs 4.7 months in R/R; FLT3-ITD selective; second-gen approved
CPX-351 (Vyxeos),Jazz,AML secondary/therapy-related,phase_3,approved,2017,partial,false,acceptable,low,hard_clinical,CLLS-001: OS 9.56 vs 5.95 months; liposomal cytarabine+daunorubicin; secondary AML
ivosidenib frontline AML,Agios/Servier,AML IDH1 newly diagnosed,phase_3,approved,2023,partial,true,acceptable,low,hard_clinical,AGILE: EFS 10.8 vs 7.0 months; IDH1+azacitidine; first IDH1 frontline AML treatment
tagraxofusp (Elzonris),Stemline/Menarini,BPDCN,phase_2,approved,2018,novel,true,acceptable,low,surrogate_validated,Phase 2: CR 54%; SL-401 CD123-diphtheria toxin; first BPDCN therapy; niche orphan
selinexor AML refractory,Karyopharm,AML refractory,phase_2,failed,2021,novel,false,acceptable,moderate,surrogate_validated,Phase 2 AML: 14% CR rate insufficient for registration; XPO1 inhibitor; AML monotherapy failed
glasdegib myeloma,Pfizer,Multiple Myeloma R/R,phase_2,failed,2021,novel,false,acceptable,moderate,surrogate_validated,Ph2: SMO inhibitor in MM; insufficient ORR vs standard comparator; hedgehog path in MM failed
pomalidomide (Pomalyst),Celgene/BMS,Multiple Myeloma R/R,phase_3,approved,2013,partial,false,acceptable,high,surrogate_validated,MM-003: PFS 4.0 vs 1.9 months; IMiD third generation; after lenalidomide failure
belantamab mafodotin (Blenrep),GSK,Multiple Myeloma R/R,phase_2,approved,2020,partial,false,poor,moderate,surrogate_validated,DREAMM-2: ORR 31%; BCMA-MMAF ADC; corneal events dose-limiting; withdrawn then re-approved combo
teclistamab (Tecvayli),J&J,Multiple Myeloma R/R,phase_2,approved,2022,novel,false,acceptable,moderate,surrogate_validated,"MajesTEC-1: ORR 63%, CR 39.4%; BCMA x CD3 bispecific; CRS monitoring required"
talquetamab (Talvey),J&J,Multiple Myeloma R/R,phase_2,approved,2023,novel,false,acceptable,moderate,surrogate_validated,MonumenTAL-1: ORR 73% at 0.4mg/kg; GPRC5D x CD3; dysgeusia/skin toxicity; novel target
elranatamab (Elrexfio),Pfizer,Multiple Myeloma R/R,phase_2,approved,2023,partial,false,acceptable,moderate,surrogate_validated,MagnetisMM-3: ORR 61.5%; BCMA x CD4 bispecific; third FDA approved bispecific for MM
isatuximab (Sarclisa),Sanofi,Multiple Myeloma R/R,phase_3,approved,2020,partial,false,acceptable,high,hard_clinical,ICARIA-MM: PFS 11.53 vs 6.47 months; CD38 mAb anti-CD38; vs daratumumab competition
selinexor myeloma,Karyopharm,Multiple Myeloma,phase_3,approved,2019,novel,false,poor,moderate,surrogate_validated,STORM-2: ORR 26.2% in triple-class refractory; XPO1; SADOA+ regimen; tolerability limited
panobinostat (Farydak),Novartis,Multiple Myeloma R/R,phase_3,approved,2015,partial,false,poor,high,surrogate_validated,PANORAMA-1: PFS 11.99 vs 8.08 months; HDAC inhibitor; GI/cardiac toxicity; limited uptake
eltrombopag (Promacta),GSK/Novartis,ITP,phase_3,approved,2008,novel,false,acceptable,low,surrogate_validated,RAISE: 59% vs 16% platelet response; TPO-RA oral; first thrombopoietin mimetic
avatrombopag (Doptelet),Dova/Swedish Orphan,Chronic ITP,phase_3,approved,2019,partial,false,clean,low,surrogate_validated,ADAPT-1/2: 32.5% vs 0% sustained platelet response; TPO-RA second-gen; no food effect
fostamatinib (Tavalisse),Rigel,Chronic ITP,phase_3,approved,2018,novel,false,acceptable,low,surrogate_validated,FIT-1/2: 18% vs 2% responder; Syk inhibitor; first non-TPO mechanism for ITP
rilzabrutinib,Sanofi,ITP,phase_3,advanced,2024,novel,false,clean,moderate,hard_clinical,Ph3 LUNA ongoing; non-covalent BTK; reversible binding; combination with existing standards
caplacizumab TTP,Sanofi/Ablynx,Acquired TTP,phase_3,approved,2019,novel,false,clean,low,hard_clinical,HERCULES: faster platelet response; vWF-A1 domain; first anti-vWF approval; rare
ruxolitinib GvHD,Incyte,Steroid-Refractory aGvHD,phase_3,approved,2021,partial,false,acceptable,low,hard_clinical,REACH-2: 49.7% vs 26.6% ORR; JAK1/2 in aGvHD; first FDA-approved for aGvHD
belumosudil (Rezurock),Kadmon/Sanofi,Chronic GvHD,phase_2,approved,2021,novel,false,clean,low,surrogate_validated,ROCKstar: 75% ORR; ROCK2 inhibitor; first non-steroid cGvHD approval
axatilimab (Niktimvo),Syndax,Chronic GvHD,phase_2,approved,2024,novel,false,clean,low,surrogate_validated,AGAVE-201: 74% ORR; CSF-1R antibody; novel macrophage target; third-line cGvHD
ibrutinib CLL frontline,Pharmacyclics/AbbVie,CLL first-line,phase_3,approved,2016,partial,false,acceptable,moderate,hard_clinical,RESONATE-2: PFS HR 0.16 vs chlorambucil; BTK; changed CLL landscape; cardiovascular AEs
acalabrutinib (Calquence),AstraZeneca,CLL,phase_3,approved,2019,partial,false,clean,moderate,hard_clinical,ELEVATE-TN: PFS HR 0.10 vs chlorambucil; second-gen BTK; superior cardiac profile vs ibrutinib
zanubrutinib (Brukinsa),BeiGene,Waldenstrom / CLL,phase_3,approved,2019,partial,false,clean,moderate,hard_clinical,ASPEN: ORR 77.6% in WM; third-gen BTK; flexible dosing; atrial fibrillation advantage
polatuzumab vedotin (Polivy),Genentech,DLBCL,phase_2,approved,2019,novel,false,acceptable,moderate,surrogate_validated,GO29365: CR 40% vs 18% with bendamustine+rituximab; CD79b ADC; first CD79b drug
fedratinib,Celgene/BMS,Myelofibrosis,phase_3,approved,2019,partial,false,acceptable,moderate,surrogate_validated,JAKARTA-2: 35% spleen volume reduction in ruxolitinib-refractory patients; JAK2/FLT3 inhibitor
