acquirer,year,annual_report_checked,press_release_archive_checked,sec_filings_checked,acquisition_found,asset_deal_found,rights_or_collaboration_found,no_deal_confidence,audit_source_url,notes
VRTX,2010,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,high,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=875320&type=10-K&dateb=&owner=include&count=40,SEC 10-K confirms: VRTX focused on ivacaftor Phase 3; no acquisitions. 10-K FY2010 reviewed.
VRTX,2011,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,high,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=875320&type=10-K&dateb=&owner=include&count=40,SEC 10-K confirms: ivacaftor NDA submission; no acquisitions. 10-K FY2011 reviewed.
VRTX,2012,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,high,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=875320&type=10-K&dateb=&owner=include&count=40,SEC 10-K confirms: Kalydeco approval Jan 2012; no acquisitions. 10-K FY2012 reviewed.
VRTX,2013,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,high,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=875320&type=10-K&dateb=&owner=include&count=40,SEC 10-K confirms: lumacaftor Phase 3; no acquisitions. 10-K FY2013 reviewed.
VRTX,2014,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,high,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=875320&type=10-K&dateb=&owner=include&count=40,SEC 10-K confirms: lumacaftor/ivacaftor combo development; no acquisitions. 10-K FY2014 reviewed.
VRTX,2015,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,high,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=875320&type=10-K&dateb=&owner=include&count=40,SEC 10-K confirms: Orkambi approval Jul 2015; no acquisitions this year. 10-K FY2015 reviewed.
VRTX,2016,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,high,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=875320&type=10-K&dateb=&owner=include&count=40,SEC 10-K confirms: tezacaftor Phase 2; no acquisitions. 10-K FY2016 reviewed.
VRTX,2017,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,high,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=875320&type=10-K&dateb=&owner=include&count=40,SEC 10-K confirms: tezacaftor/ivacaftor Phase 3; no acquisitions. 10-K FY2017 reviewed.
VRTX,2018,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,high,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=875320&type=10-K&dateb=&owner=include&count=40,SEC 10-K confirms: triple combination Phase 3 (VX-445/tezacaftor/ivacaftor); no acquisitions. 10-K FY2018 reviewed.
VRTX,2019,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,high,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=875320&type=10-K&dateb=&owner=include&count=40,Confirmed acquisitions: Semma Therapeutics ($950M Sep 2019) — positive label. Exonics (Jun 2019). Both verified via press release; 10-K FY2019 also reviewed.
VRTX,2020,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,medium,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=875320&type=10-K&dateb=&owner=include&count=40,SEC 10-K confirms: Trikafta launch; VRTX expanding CF label globally; no acquisitions. 10-K FY2020 reviewed.
VRTX,2021,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,medium,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=875320&type=10-K&dateb=&owner=include&count=40,SEC 10-K confirms: VX-548 (pain) Phase 2; no acquisitions. 10-K FY2021 reviewed.
VRTX,2022,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,high,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=875320&type=10-K&dateb=&owner=include&count=40,SEC 10-K confirms: ViaCyte ($320M Jul 2022) — positive label. No other full acquisitions. 10-K FY2022 reviewed.
VRTX,2023,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,medium,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=875320&type=10-K&dateb=&owner=include&count=40,SEC 10-K confirms: exa-cel / Casgevy approval (CTX001); no standalone acquisitions. 10-K FY2023 reviewed.
VRTX,2024,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,high,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=875320&type=10-K&dateb=&owner=include&count=40,Confirmed: Alpine Immune Sciences ($4.9B Apr 2024) — positive label. No other acquisitions. 10-K FY2024 partially reviewed.
VRTX,2025,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,low,,Year in progress at time of audit; no confirmed acquisitions
REGN,2010,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,high,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=872589&type=10-K&dateb=&owner=include&count=40,SEC 10-K confirms: REGN pre-revenue clinical stage; no acquisitions. 10-K FY2010 reviewed.
REGN,2011,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,high,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=872589&type=10-K&dateb=&owner=include&count=40,SEC 10-K confirms: Eylea FDA approval Nov 2011; no acquisitions. 10-K FY2011 reviewed.
REGN,2012,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,high,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=872589&type=10-K&dateb=&owner=include&count=40,SEC 10-K confirms: Eylea commercial launch growth; no acquisitions. 10-K FY2012 reviewed.
