program_id,decision_date,outcome,decisive_archetype,label_status,decisive_confidence,why_this_archetype_decided,label_source,label_date,pivotal_evidence_event,pivotal_evidence_date,single_question_dominant,competing_archetypes,_seed_rationale,_pool_signals
veliparib,2020-01-01,failed,DIFFERENTIATION,seed_review,high,[SEED — REVIEW] BROCADE3 BRCAP trial; small incremental benefit; not approvable,phase_transitions.csv heuristic seed (REVIEW REQUIRED),2026-07-03,phase_3 readout (BRCA+ breast),2020-12-31,true,,competition=high(+3->DIFFERENTIATION); moa=partial(+1->TARGET_VALIDITY) | top=DIFFERENTIATION(3) second=1 dominant=True,phase=phase_3;moa=partial;biomarker=true;safety=minor;competition=high;endpoint=hard_clinical
iadademstat,2022-01-01,failed,TARGET_VALIDITY,seed_review,high,[SEED — REVIEW] LSD1 inhibitor; CR rate insufficient; program discontinued,phase_transitions.csv heuristic seed (REVIEW REQUIRED),2026-07-03,phase_2 readout (AML),2022-12-31,true,,moa=novel(+2->TARGET_VALIDITY); unselected(biomarker_enriched=false)(+1->TARGET_VALIDITY) | top=TARGET_VALIDITY(3) second=0 dominant=True,phase=phase_2;moa=novel;biomarker=false;safety=minor;competition=low;endpoint=surrogate_validated
navitoclax,2021-01-01,failed,TARGET_VALIDITY,seed_review,medium,[SEED — REVIEW] BCL-2/BCL-XL; thrombocytopenia limits dosing; no OS benefit,phase_transitions.csv heuristic seed (REVIEW REQUIRED),2026-07-03,phase_3 readout (MPNs),2021-12-31,false,"DOSE_ADEQUACY,TOLERABILITY_CEILING",safety=concerning(+2->TOLERABILITY_CEILING); competition=moderate(+1->DIFFERENTIATION); moa=novel(+2->TARGET_VALIDITY); unselected(biomarker_enriched=false)(+1->TARGET_VALIDITY); notes~dose_adequacy(+3->DOSE_ADEQUACY) | top=TARGET_VALIDITY(3) second=3 dominant=False,phase=phase_3;moa=novel;biomarker=false;safety=concerning;competition=moderate;endpoint=hard_clinical
olaratumab,2019-01-01,failed,TARGET_VALIDITY,seed_review,high,[SEED — REVIEW] ANNOUNCE Ph3 failed; Ph2 showed OS benefit that did not replicate; accelerated approval withdrawn,phase_transitions.csv heuristic seed (REVIEW REQUIRED),2026-07-03,phase_3 readout (Soft Tissue Sarcoma),2019-12-31,true,,moa=novel(+2->TARGET_VALIDITY); unselected(biomarker_enriched=false)(+1->TARGET_VALIDITY) | top=TARGET_VALIDITY(3) second=0 dominant=True,phase=phase_3;moa=novel;biomarker=false;safety=minor;competition=low;endpoint=hard_clinical
trebananib,2015-01-01,failed,TARGET_VALIDITY,seed_review,high,[SEED — REVIEW] TRINOVA-1 Ph3; PFS improvement did not translate to OS; no regulatory approval,phase_transitions.csv heuristic seed (REVIEW REQUIRED),2026-07-03,phase_3 readout (Platinum-resistant Ovarian),2015-12-31,true,,competition=moderate(+1->DIFFERENTIATION); moa=novel(+2->TARGET_VALIDITY); unselected(biomarker_enriched=false)(+1->TARGET_VALIDITY) | top=TARGET_VALIDITY(3) second=1 dominant=True,phase=phase_3;moa=novel;biomarker=false;safety=minor;competition=moderate;endpoint=hard_clinical
cediranib,2015-01-01,failed,TARGET_VALIDITY,seed_review,medium,[SEED — REVIEW] ICON6 Ph3 failed OS primary endpoint; VEGFR + PARP combination no OS benefit,phase_transitions.csv heuristic seed (REVIEW REQUIRED),2026-07-03,phase_3 readout (Platinum-sensitive Ovarian),2015-12-31,false,"TOLERABILITY_CEILING,DIFFERENTIATION",safety=concerning(+2->TOLERABILITY_CEILING); competition=moderate(+1->DIFFERENTIATION); moa=partial(+1->TARGET_VALIDITY); unselected(biomarker_enriched=false)(+1->TARGET_VALIDITY) | top=TARGET_VALIDITY(2) second=2 dominant=False,phase=phase_3;moa=partial;biomarker=false;safety=concerning;competition=moderate;endpoint=hard_clinical
demcizumab,2018-01-01,failed,TARGET_VALIDITY,seed_review,medium,[SEED — REVIEW] DENALI Ph3 failed PFS; DLL4/Notch inhibition with pulmonary hypertension signal,phase_transitions.csv heuristic seed (REVIEW REQUIRED),2026-07-03,phase_3 readout (NSCLC 1L),2018-12-31,false,"DIFFERENTIATION,TOLERABILITY_CEILING",safety=concerning(+2->TOLERABILITY_CEILING); competition=high(+3->DIFFERENTIATION); moa=novel(+2->TARGET_VALIDITY); unselected(biomarker_enriched=false)(+1->TARGET_VALIDITY) | top=TARGET_VALIDITY(3) second=3 dominant=False,phase=phase_3;moa=novel;biomarker=false;safety=concerning;competition=high;endpoint=hard_clinical
alisertib,2016-01-01,failed,TOLERABILITY_CEILING,seed_review,medium,[SEED — REVIEW] Failed vs physician's choice in TNBC and SCLC; Aurora A kinase; toxicity-limited dosing,phase_transitions.csv heuristic seed (REVIEW REQUIRED),2026-07-03,phase_3 readout (TNBC / SCLC),2016-12-31,false,TARGET_VALIDITY,safety=concerning(+2->TOLERABILITY_CEILING); competition=moderate(+1->DIFFERENTIATION); moa=novel(+2->TARGET_VALIDITY); unselected(biomarker_enriched=false)(+1->TARGET_VALIDITY); notes~tolerability_ceiling(+2->TOLERABILITY_CEILING) | top=TOLERABILITY_CEILING(4) second=3 dominant=False,phase=phase_3;moa=novel;biomarker=false;safety=concerning;competition=moderate;endpoint=hard_clinical
mobocertinib,2023-01-01,failed,TOLERABILITY_CEILING,seed_review,medium,[SEED — REVIEW] Voluntarily withdrawn 2023 after negative EXCLAIM-2 Ph3 confirmatory data; approved then revoked,phase_transitions.csv heuristic seed (REVIEW REQUIRED),2026-07-03,phase_2 readout (EGFR exon20 NSCLC),2023-12-31,false,"TARGET_VALIDITY,DIFFERENTIATION",safety=concerning(+2->TOLERABILITY_CEILING); competition=moderate(+1->DIFFERENTIATION); moa=partial(+1->TARGET_VALIDITY) | top=TOLERABILITY_CEILING(2) second=1 dominant=False,phase=phase_2;moa=partial;biomarker=true;safety=concerning;competition=moderate;endpoint=surrogate_validated
seribantumab,2022-01-01,failed,TARGET_VALIDITY,seed_review,medium,[SEED — REVIEW] CRESTONE Ph2 failed ORR threshold in NRG1 fusion+ patients; program discontinued,phase_transitions.csv heuristic seed (REVIEW REQUIRED),2026-07-03,phase_2 readout (HER3+ Solid Tumors),2022-12-31,true,,moa=novel(+2->TARGET_VALIDITY) | top=TARGET_VALIDITY(2) second=0 dominant=True,phase=phase_2;moa=novel;biomarker=true;safety=minor;competition=low;endpoint=surrogate_validated
