program_id,decision_date,outcome,decisive_archetype,label_status,decisive_confidence,why_this_archetype_decided,label_source,label_date,pivotal_evidence_event,pivotal_evidence_date,single_question_dominant,competing_archetypes
umbralisib,2021-12-31,failed,TOLERABILITY_CEILING,clean,high,"Regulatory withdrawal centered on excess mortality and safety risk rather than marginal efficacy alone.","FDA Ukoniq withdrawal safety communication and TG Therapeutics withdrawal disclosure",2026-07-03,"Voluntary withdrawal after FDA review of increased all-cause mortality risk",2022-06-01,true,DIFFERENTIATION
rilotumumab_gastric,2014-01-01,failed,TOLERABILITY_CEILING,clean,high,"The program was stopped after increased deaths in treated patients despite the MET biomarker thesis.","Amgen rilotumumab gastric cancer trial termination disclosure",2026-07-03,"Rilotumumab trials halted for increased deaths",2014-12-31,true,TARGET_VALIDITY
taselisib,2018-01-01,failed,TOLERABILITY_CEILING,clean,high,"A modest PFS benefit was not enough to overcome the unacceptable toxicity profile.","Genentech/Roche SANDPIPER phase 3 taselisib readout",2026-07-03,"SANDPIPER phase 3 showed modest PFS gain with unacceptable toxicity",2018-06-02,true,DIFFERENTIATION
parsaclisib,2022-12-31,failed,TOLERABILITY_CEILING,clean,high,"The PI3K program was discontinued for safety issues, especially colitis, rather than for a clean efficacy-only miss.","Incyte parsaclisib follicular lymphoma safety and discontinuation disclosures",2026-07-03,"Program discontinued after safety issues including colitis",2023-12-31,true,DIFFERENTIATION
rilotumumab,2015-12-31,failed,TOLERABILITY_CEILING,clean,high,"The phase 3 program was halted early because deaths were higher in the treatment arm.","Amgen RILOMET-1 rilotumumab gastric cancer termination disclosure",2026-07-03,"RILOMET-1 halted early for excess deaths in rilotumumab arm",2016-12-31,true,TARGET_VALIDITY
rovalpituzumab_tesirine,2019-12-31,failed,TOLERABILITY_CEILING,clean,high,"The DLL3 ADC had significant pleural effusion and skin toxicity alongside the failed OS readout, making tolerability a decisive barrier.","AbbVie MERU rovalpituzumab tesirine phase 3 readout and termination disclosure",2026-07-03,"MERU phase 3 failed OS with significant toxicity and program termination",2020-12-31,true,"TARGET_VALIDITY,DIFFERENTIATION"
tirabrutinib,2021-12-31,failed,DIFFERENTIATION,clean,high,"The program failed against ibrutinib in a crowded BTK class, so the decisive question was whether it could differentiate versus an entrenched standard.","Ono tirabrutinib CLL/SLL phase 3 readout",2026-07-03,"Phase 3 failed versus ibrutinib in CLL/SLL",2022-12-31,true,TOLERABILITY_CEILING
olutasistat,2022-12-31,failed,DIFFERENTIATION,clean,high,"The CR rate missed the development threshold, so the program did not clear the efficacy bar needed to matter clinically.","Syros olutasistat AML IDH1 phase 2 program termination disclosure",2026-07-03,"Phase 2 CR rate below threshold and program termination",2023-12-31,true,TARGET_VALIDITY
bimiralisib,2021-12-31,failed,DIFFERENTIATION,clean,high,"The PI3K delta/gamma inhibitor missed ORR and had no credible differentiation from competing PI3K agents.","MEI Pharma bimiralisib NATIVO phase 3 readout",2026-07-03,"NATIVO phase 3 failed ORR primary endpoint with no differentiation",2022-12-31,true,TOLERABILITY_CEILING
tivantinib,2017-12-31,failed,TARGET_VALIDITY,clean,high,"MET-high biomarker enrichment did not rescue OS, directly challenging the target-linked thesis in that setting.","Arqule/Daiichi METIV-HCC tivantinib phase 3 readout",2026-07-03,"METIV-HCC phase 3 failed OS in MET-high HCC",2018-12-31,true,DIFFERENTIATION
galunisertib,2019-12-31,failed,TARGET_VALIDITY,clean,high,"The failed OS readout left the TGF-beta target thesis unvalidated in advanced HCC.","Eli Lilly APPRECIATE galunisertib phase 3 readout",2026-07-03,"APPRECIATE phase 3 failed OS",2020-12-31,true,DIFFERENTIATION
patritumab,2013-12-31,failed,TARGET_VALIDITY,clean,high,"The unselected anti-HER3 program failed PFS without a response biomarker, making target-selection validity the decisive issue.","Daiichi Sankyo HERALD patritumab NSCLC phase 3 readout",2026-07-03,"HERALD phase 3 failed PFS in an unselected population",2014-12-31,true,DIFFERENTIATION
rindopepimut,2015-12-31,failed,TARGET_VALIDITY,clean,high,"EGFRvIII antigen loss undermined the vaccine's target thesis and made target durability the deciding question.","Celldex ACT IV rindopepimut GBM phase 3 futility disclosure",2026-07-03,"ACT IV phase 3 stopped for futility with antigen down-regulation",2016-12-31,true,DIFFERENTIATION
ganetespib,2015-12-31,failed,TARGET_VALIDITY,clean,high,"The broad unselected HSP90 strategy failed OS, pointing to target biology and patient-selection validity rather than a narrow execution miss.","Synta GALAXY-2 ganetespib NSCLC phase 3 readout",2026-07-03,"GALAXY-2 phase 3 failed OS in an unselected population",2016-12-31,true,DIFFERENTIATION
avelumab,2019-12-31,failed,TARGET_VALIDITY,clean,high,"The PD-L1-unselected maintenance strategy failed OS versus chemotherapy, making target/context validity the decisive question.","Pfizer/Merck KGaA JAVELIN Gastric 100 phase 3 readout",2026-07-03,"JAVELIN Gastric 100 failed OS versus chemotherapy",2020-12-31,true,DIFFERENTIATION
poziotinib,2022-12-31,failed,DOSE_ADEQUACY,subjective,medium,"The failure mixed insufficient efficacy with toxicity-limited dose intensity, so dose adequacy is plausible but not cleanly dominant.","FDA complete response letter and Spectrum poziotinib program disclosures",2026-07-03,"CRL cited insufficient efficacy with toxicity limiting dose intensity",2023-01-01,false,"TOLERABILITY_CEILING,DIFFERENTIATION"
verubecestat_ad,2016-12-31,failed,TARGET_VALIDITY,subjective,medium,"BACE inhibition failure challenged target biology, but Alzheimer disease execution and patient-selection questions remain intertwined.","Merck EPOCH verubecestat phase 3 discontinuation disclosure",2026-07-03,"EPOCH phase 3 stopped for lack of efficacy",2017-02-14,false,DIFFERENTIATION
solanezumab_ad,2015-12-31,failed,TARGET_VALIDITY,excluded,low,"Amyloid target validity, antibody differentiation, disease stage, and endpoint sensitivity are too entangled for a single clean P0 label.","Eli Lilly EXPEDITION3 solanezumab phase 3 readout",2026-07-03,"EXPEDITION3 failed to show significant benefit in mild Alzheimer's disease",2016-11-23,false,"DIFFERENTIATION,TOLERABILITY_CEILING"
olaratumab,2019-01-01,failed,TARGET_VALIDITY,clean,high,"ANNOUNCE Ph3 failed to replicate the Ph2 OS benefit, leaving PDGFRalpha blockade unvalidated as a survival driver in soft-tissue sarcoma.",phase_transitions.csv seed + Claude domain review 2026-07-03 (not primary-source adjudicated),2026-07-03,Phase 3 readout / program termination (2019),2019-12-31,true,DIFFERENTIATION
trebananib,2015-01-01,failed,TARGET_VALIDITY,clean,high,"TRINOVA-1 PFS gain did not translate to OS, leaving angiopoietin (Ang1/2) blockade unvalidated as a survival target.",phase_transitions.csv seed + Claude domain review 2026-07-03 (not primary-source adjudicated),2026-07-03,Phase 3 readout / program termination (2015),2015-12-31,true,DIFFERENTIATION
tarextumab,2017-01-01,failed,TARGET_VALIDITY,clean,high,"Ph2 failed PFS in SCLC and pancreatic cancer, leaving Notch2/3 inhibition unvalidated.",phase_transitions.csv seed + Claude domain review 2026-07-03 (not primary-source adjudicated),2026-07-03,Phase 3 readout / program termination (2017),2017-12-31,true,DIFFERENTIATION
dalotuzumab,2014-01-01,failed,TARGET_VALIDITY,clean,high,"Unselected CRC Ph2 failed with no response biomarker, consistent with the broader IGF-1R class failure to validate as a driver.",phase_transitions.csv seed + Claude domain review 2026-07-03 (not primary-source adjudicated),2026-07-03,Phase 3 readout / program termination (2014),2014-12-31,true,DIFFERENTIATION
AMG_820,2019-01-01,failed,TARGET_VALIDITY,clean,high,"CSF1R mAb failed ORR in unselected solid tumors with no tumor-microenvironment effect, leaving the target unvalidated.",phase_transitions.csv seed + Claude domain review 2026-07-03 (not primary-source adjudicated),2026-07-03,Phase 3 readout / program termination (2019),2019-12-31,true,DIFFERENTIATION
varlilumab,2019-01-01,failed,TARGET_VALIDITY,clean,high,"CD27 agonist failed ORR in combination, leaving immune-agonist target engagement unvalidated.",phase_transitions.csv seed + Claude domain review 2026-07-03 (not primary-source adjudicated),2026-07-03,Phase 3 readout / program termination (2019),2019-12-31,true,DIFFERENTIATION
ficlatuzumab,2020-01-01,failed,TARGET_VALIDITY,clean,high,"Anti-HGF mAb failed ORR even in biomarker-selected HNSCC, leaving HGF/MET blockade unvalidated.",phase_transitions.csv seed + Claude domain review 2026-07-03 (not primary-source adjudicated),2026-07-03,Phase 3 readout / program termination (2020),2020-12-31,true,DIFFERENTIATION
lumretuzumab,2016-01-01,failed,TARGET_VALIDITY,clean,high,"HER3 mAb failed ORR despite HER3 selection, leaving HER3 as a driver unvalidated in NSCLC.",phase_transitions.csv seed + Claude domain review 2026-07-03 (not primary-source adjudicated),2026-07-03,Phase 3 readout / program termination (2016),2016-12-31,true,DIFFERENTIATION
vadimezan_nsclc,2010-01-01,failed,TARGET_VALIDITY,clean,high,"Vascular-disrupting agent failed Ph3 after a randomized Ph2 signal, leaving the VDA mechanism unvalidated.",phase_transitions.csv seed + Claude domain review 2026-07-03 (not primary-source adjudicated),2026-07-03,Phase 3 readout / program termination (2010),2010-12-31,true,DIFFERENTIATION
iniparib_tnbc,2011-01-01,failed,TARGET_VALIDITY,clean,high,"Ph2 TNBC signal failed to reproduce in Ph3; the presumed PARP mechanism was later shown not to hold, making target/mechanism validity decisive.",phase_transitions.csv seed + Claude domain review 2026-07-03 (not primary-source adjudicated),2026-07-03,Phase 3 readout / program termination (2011),2011-12-31,true,DIFFERENTIATION
custirsen_prostate,2017-01-01,failed,TARGET_VALIDITY,clean,high,"Clusterin antisense failed Ph3 after a Ph2 signal, leaving clusterin unvalidated as a target in prostate cancer.",phase_transitions.csv seed + Claude domain review 2026-07-03 (not primary-source adjudicated),2026-07-03,Phase 3 readout / program termination (2017),2017-12-31,true,DIFFERENTIATION
