drug,company,indication,phase_start,outcome,year,moa_precedent,biomarker_enriched,safety_profile,competitive_pressure,endpoint_type,notes
adalimumab,AbbVie,Rheumatoid Arthritis,phase_3,approved,2002,novel,false,clean,low,hard_clinical,"ARMADA trial; first TNF blocker for RA with full approval"
etanercept,Pfizer/Amgen,Psoriatic Arthritis,phase_3,approved,2002,partial,false,clean,moderate,hard_clinical,"TNF inhibitor; ACR20 primary; second TA after RA"
infliximab,J&J,Crohn's Disease,phase_3,approved,2006,partial,false,acceptable,moderate,hard_clinical,"ACCENT I: sustained response; TNF proven in IBD"
natalizumab,Biogen,Relapsing Multiple Sclerosis,phase_3,approved,2006,novel,false,acceptable,low,hard_clinical,"AFFIRM: 68% ARR reduction; alpha-4 integrin novel mechanism"
ustekinumab,J&J,Psoriasis,phase_3,approved,2009,novel,false,clean,moderate,hard_clinical,"PHOENIX-1/2: 67% PASI 75 at week 12; IL-12/23 first in class"
secukinumab,Novartis,Ankylosing Spondylitis,phase_3,approved,2015,partial,false,clean,moderate,hard_clinical,"MEASURE 1/2: ASAS20 at week 16; IL-17A novel mechanism in SpA"
ixekizumab,Eli Lilly,Psoriasis,phase_3,approved,2016,partial,false,clean,high,hard_clinical,"UNCOVER-1/2/3: 89% PASI 75; IL-17A second in class; competitive"
dupilumab (atopic dermatitis),Sanofi/Regeneron,Atopic Dermatitis,phase_3,approved,2017,novel,false,clean,low,hard_clinical,"SOLO-1/2: 50% IGA 0/1; IL-4/IL-13 novel mechanism; no prior approved biologic"
baricitinib,Eli Lilly,Rheumatoid Arthritis,phase_3,approved,2018,novel,false,clean,moderate,hard_clinical,"RA-BEAM: ACR70 38% vs 17% adalimumab; JAK1/2 inhibitor; CRL before approval"
tofacitinib (UC),Pfizer,Ulcerative Colitis,phase_3,approved,2018,partial,false,acceptable,low,hard_clinical,"OCTAVE 1/2: 18.5% clinical remission vs 8.2% placebo; JAK1/3 second indication"
guselkumab,J&J,Psoriasis,phase_3,approved,2017,partial,false,clean,high,hard_clinical,"VOYAGE-1/2: 85% PASI 90 at 16 weeks; IL-23p19 specific; cleaner than IL-17"
risankizumab,AbbVie,Psoriasis,phase_3,approved,2019,partial,false,clean,high,hard_clinical,"UltIMMa-1/2: 75% PASI 90; IL-23 third generation; competitive with guselkumab"
ozanimod,Bristol-Myers Squibb,Relapsing Multiple Sclerosis,phase_3,approved,2020,partial,false,acceptable,moderate,hard_clinical,"RADIANCE: ARR 0.18 vs 0.35 interferon; S1P1/5 selective; cardiac monitoring required"
ozanimod (UC),Bristol-Myers Squibb,Ulcerative Colitis,phase_3,approved,2021,partial,false,acceptable,moderate,hard_clinical,"True North: 18.4% clinical remission at week 10; S1P mechanism in UC"
upadacitinib (RA),AbbVie,Rheumatoid Arthritis,phase_3,approved,2019,partial,false,clean,high,hard_clinical,"SELECT-COMPARE: ACR20 71% vs 36% MTX; JAK1 selective; best-in-class tolerability"
tralokinumab,LEO Pharma,Atopic Dermatitis,phase_3,approved,2021,partial,false,clean,high,hard_clinical,"ECZTRA 1/2: 16% IGA 0/1 (vs dupilumab 38%); IL-13 alone; competitive challenge"
lebrikizumab,Eli Lilly,Atopic Dermatitis,phase_3,approved,2023,partial,false,clean,high,hard_clinical,"ADvocate 1/2: 44% IGA 0/1 at week 16; IL-13 mechanism; market entry vs dupilumab"
avacopan,Amgen/ChemoCentryx,ANCA-associated vasculitis,phase_3,approved,2021,novel,false,clean,low,hard_clinical,"ADVOCATE: 72% sustained remission vs 70% prednisone; C5aR1 first in class; rare disease"
satralizumab,Chugai/Roche,Neuromyelitis Optica Spectrum Disorder,phase_3,approved,2020,partial,false,clean,low,hard_clinical,"SAkuraSky/SAkuraStar: 74% ARR reduction vs placebo; IL-6 recycling antibody"
eptinezumab,Lundbeck/Alder,Chronic Migraine,phase_3,approved,2020,partial,false,clean,high,surrogate_validated,"PROMISE-1/2: 50% responder rate vs 38% placebo; CGRP IV; competitive market"
inebilizumab,MedImmune/Horizon,NMOSD,phase_3,approved,2020,partial,true,clean,low,hard_clinical,"N-MOmentum: 73% attack-risk reduction; anti-CD19; AQP4-IgG seropositive enriched"
