deal_id,acquirer,bucket_name,bucket_type,candidate_target,candidate_ticker,candidate_public_status_at_snapshot,candidate_asset,therapeutic_area,indication,modality,stage_at_snapshot,estimated_market_cap_or_value_at_snapshot,source_url,source_published_date,data_as_of_date,why_plausible,why_available,why_affordable,rights_or_encumbrance_status,manual_review_status
VRTX_SEMMA_20190903,VRTX,VRTX_SEMMA_2019,core,ViaCyte,private_VCYT,private,PEC-Direct / PEC-Encap (stem-cell pancreatic progenitors),diabetes_endocrine,type_1_diabetes,cell_therapy,clinical,unknown_private,,2019-09-01,2019-09-01,Direct T1D beta-cell replacement platform — same strategic problem as Semma,No acquisition as of 2019-09-01,Private company; last known financing ~$320M total raised,No confirmed acquisition or licensing exclusivity as of snapshot,approved_core
VRTX_SEMMA_20190903,VRTX,VRTX_SEMMA_2019,core,Sernova Corp,SVA.TO,public,Cell Pouch + therapeutic cells,diabetes_endocrine,type_1_diabetes,cell_therapy_device,phase1_2,~50M CAD,,2019-09-01,2019-09-01,Implantable cell pouch for T1D — device + cell therapy strategy similar to Semma encapsulation approach,No acquisition as of snapshot,Microcap; affordable for VRTX,No confirmed encumbrance,approved_core
VRTX_SEMMA_20190903,VRTX,VRTX_SEMMA_2019,core,Sigilon Therapeutics,SGTX,public,Shielded Living Therapeutics encapsulated cell therapy,diabetes_endocrine,type_1_diabetes,encapsulated_cell_therapy,phase1,~300M,,2019-09-01,2019-09-01,Direct encapsulated cell therapy for T1D; Lilly collaboration but not yet acquired,Available until Lilly acquisition 2023,Affordable in 2019; Lilly paid ~$34.6M upfront in CVR deal,Lilly T1D collaboration — encumbrance check required,approved_core
VRTX_SEMMA_20190903,VRTX,VRTX_SEMMA_2019,core,CellTrans Inc,private_CLTR,private,Lantidra (donor islet cellular therapy),diabetes_endocrine,type_1_diabetes,donor_islet_cell_therapy,phase3,unknown_private,,2019-09-01,2019-09-01,First FDA-approved cellular therapy for T1D proves replacement-cell modality,Private; no confirmed acquisition,Private company; small,Donor-cell supply limits scalability vs Semma,approved_adjacent
VRTX_SEMMA_20190903,VRTX,VRTX_SEMMA_2019,core,Beta-O2 Technologies,private_BO2,private,Beta-O2 encapsulated islet implant,diabetes_endocrine,type_1_diabetes,encapsulated_islet_device,phase1,unknown_private,,2019-09-01,2019-09-01,Device/islet replacement adjacency — encapsulation + immune protection approach,Private; no confirmed acquisition,Private; small,Device regulatory complexity,pending
VRTX_SEMMA_20190903,VRTX,VRTX_SEMMA_2019,core,Seraxis,private_SRXS,private,Stem-cell-derived islets,diabetes_endocrine,type_1_diabetes,stem_cell_derived_islets,preclinical,unknown_private,,2019-09-01,2019-09-01,Direct biology adjacency — scalable stem-cell-derived islets same as Semma approach,Private; no confirmed acquisition,Private; small,Sparse financial data,pending
VRTX_SEMMA_20190903,VRTX,VRTX_SEMMA_2019,core,Encellin,private_ENCL,private,Implantable cell therapy pouch,diabetes_endocrine,type_1_diabetes,cell_therapy_device,preclinical,unknown_private,,2019-09-01,2019-09-01,Device/cell therapy adjacency; proprietary encapsulation material,Private; no confirmed acquisition,Private; very early stage,Sparse financial data,pending
VRTX_SEMMA_20190903,VRTX,VRTX_SEMMA_2019,core,iTolerance,private_ITOL,private,Immune-tolerant regenerative medicine / T1D transplant tolerance,diabetes_endocrine,type_1_diabetes,immune_tolerance,preclinical,unknown_private,,2019-09-01,2019-09-01,T1D transplant-tolerance adjacency — complementary to cell replacement,Private; no confirmed acquisition,Private; early stage,Sparse financial data,pending
VRTX_SEMMA_20190903,VRTX,VRTX_SEMMA_2019,core,Kadimastem,KDM.TA,public_israel,Stem-cell-derived pancreatic islets,diabetes_endocrine,type_1_diabetes,stem_cell_derived_islets,preclinical,~30M ILS,,2019-09-01,2019-09-01,Beta-cell replacement adjacency; Israeli public company with sparse US data,No confirmed acquisition,Microcap; affordable,Israel-listed; limited US data access,pending
VRTX_SEMMA_20190903,VRTX,VRTX_SEMMA_2019,adjacent,CRISPR Therapeutics,CRSP,public,VCTX210 / VCTX211 gene-edited T1D cell therapies,diabetes_endocrine,type_1_diabetes,gene_edited_cell_therapy,preclinical,~2500M,,2019-09-01,2019-09-01,Gene-edited immune-evasive T1D cells — same biological problem as Semma,No confirmed acquisition; no ViaCyte deal yet in 2019,VRTX could afford; strategic overlap with ViaCyte collaboration,CRISPR/ViaCyte collaboration — rights entanglement check,approved_adjacent
VRTX_SEMMA_20190903,VRTX,VRTX_SEMMA_2019,adjacent,Provention Bio,PRVB,public,teplizumab (Tzield) anti-CD3 T1D delay,diabetes_endocrine,type_1_diabetes,anti_cd3_antibody,phase3,~400M,,2019-09-01,2019-09-01,T1D specialty asset preventing/delaying T1D onset; Sanofi acquired 2023,Available until Sanofi acquisition 2023,Affordable for VRTX in 2019,No confirmed encumbrance in 2019,approved_stretch
VRTX_SEMMA_20190903,VRTX,VRTX_SEMMA_2019,adjacent,Orgenesis,ORGS,public,Cell/gene therapy manufacturing + diabetes programs,diabetes_endocrine,type_1_diabetes,cell_gene_therapy_platform,phase2,~200M,,2019-09-01,2019-09-01,Regenerative medicine/cell therapy platform with diabetes angle,No confirmed acquisition,Affordable for VRTX,Platform asset specificity weak for T1D focus,pending
VRTX_SEMMA_20190903,VRTX,VRTX_SEMMA_2019,adjacent,Diamyd Medical,DMYD-B.ST,public_sweden,GAD65 antigen-specific immunotherapy for T1D,diabetes_endocrine,type_1_diabetes,antigen_specific_immunotherapy,phase2,~100M SEK,,2019-09-01,2019-09-01,T1D disease-modifying approach — immune angle complementary to beta-cell replacement,No confirmed acquisition,Microcap; affordable,Sweden-listed; limited US data,pending
VRTX_SEMMA_20190903,VRTX,VRTX_SEMMA_2019,adjacent,Imcyse,private_IMCY,private,Antigen-specific immunotherapy for T1D,diabetes_endocrine,type_1_diabetes,antigen_specific_immunotherapy,phase1,unknown_private,,2019-09-01,2019-09-01,Immune-modifying T1D platform — complementary immune angle,Private; no confirmed acquisition,Private; early stage,Private data limited,pending
VRTX_SEMMA_20190903,VRTX,VRTX_SEMMA_2019,adjacent,Fate Therapeutics,FATE,public,iPSC-derived cell therapy platform,diabetes_endocrine,type_1_diabetes_adjacent,ipsc_cell_therapy,phase1,~1200M,,2019-09-01,2019-09-01,iPSC platform could address T1D — adjacent cell therapy manufacturing,No confirmed acquisition for T1D programs,VRTX could afford,Celgene/BMS oncology program encumbrance — check scope,pending
