atom_id,program_id,claim_type,evidence_span,proposed_direction,likelihood_ratio,tier,source_type,source_id,observed_vs_inferred,population_match,rationale,extraction_review_status,review_status,extraction_source,extraction_date
navitoclax_mpn:ther:0,navitoclax_mpn,therapeutic_window,PRE-DECISION CANDIDATE: Mechanism includes BCL-xL inhibition;,neutral,1.0,low,,navitoclax_mpn:evidence,inferred,unknown,[EXTRACTED — REVIEW] PRE-DECISION CANDIDATE: Mechanism includes BCL-xL inhibition;,extracted,draft,claim_evidence_atoms.extract_atoms_from_row heuristic,2026-07-05
navitoclax_mpn:ther:1,navitoclax_mpn,therapeutic_window,BCL-xL inhibition is linked to platelet lifespan reduction and clinically dose-limiting thrombocytopenia.,refuting,1.0,low,,navitoclax_mpn:evidence,inferred,unknown,[EXTRACTED — REVIEW] BCL-xL inhibition is linked to platelet lifespan reduction and clinically dose-limiting thrombocytopenia.,extracted,draft,claim_evidence_atoms.extract_atoms_from_row heuristic,2026-07-05
navitoclax_mpn:ther:2,navitoclax_mpn,therapeutic_window,Need primary protocol/review to confirm whether this specifically constrained intended efficacious exposure in MPN program.,neutral,1.0,low,,navitoclax_mpn:evidence,inferred,unknown,[EXTRACTED — REVIEW] Need primary protocol/review to confirm whether this specifically constrained intended efficacious exposure in MPN program.,extracted,draft,claim_evidence_atoms.extract_atoms_from_row heuristic,2026-07-05
umbralisib_mzl_fl_cll:ther:0,umbralisib_mzl_fl_cll,therapeutic_window,"PRE-DECISION CANDIDATE: Public label/review summaries described serious safety liabilities including infections, neutropenia, diarrhea/noninfectious colitis, hepatotoxicity, and severe cutaneous reactions before market withdrawal decision.",refuting,1.0,low,,umbralisib_mzl_fl_cll:evidence,inferred,unknown,"[EXTRACTED — REVIEW] PRE-DECISION CANDIDATE: Public label/review summaries described serious safety liabilities including infections, neutropenia, diarrhea/noninfectious colitis, hepatotoxicity, and severe cutaneous reactions before market withdrawal decision.",extracted,draft,claim_evidence_atoms.extract_atoms_from_row heuristic,2026-07-05
umbralisib_mzl_fl_cll:ther:1,umbralisib_mzl_fl_cll,therapeutic_window,Need FDA label/ODAC packet extraction.,neutral,1.0,low,,umbralisib_mzl_fl_cll:evidence,inferred,unknown,[EXTRACTED — REVIEW] Need FDA label/ODAC packet extraction.,extracted,draft,claim_evidence_atoms.extract_atoms_from_row heuristic,2026-07-05
duvelisib_cll_sll_fl:ther:0,duvelisib_cll_sll_fl,therapeutic_window,"PRE-DECISION CANDIDATE: Known boxed-warning/serious toxicities include infections, diarrhea/colitis, pneumonitis, cutaneous reactions, and transaminase elevations;",refuting,1.0,low,,duvelisib_cll_sll_fl:evidence,inferred,unknown,"[EXTRACTED — REVIEW] PRE-DECISION CANDIDATE: Known boxed-warning/serious toxicities include infections, diarrhea/colitis, pneumonitis, cutaneous reactions, and transaminase elevations;",extracted,draft,claim_evidence_atoms.extract_atoms_from_row heuristic,2026-07-05
duvelisib_cll_sll_fl:ther:1,duvelisib_cll_sll_fl,therapeutic_window,safety profile plausibly limited benefit-risk before later survival-warning update.,neutral,1.0,low,,duvelisib_cll_sll_fl:evidence,inferred,unknown,[EXTRACTED — REVIEW] safety profile plausibly limited benefit-risk before later survival-warning update.,extracted,draft,claim_evidence_atoms.extract_atoms_from_row heuristic,2026-07-05
copanlisib_fl:ther:0,copanlisib_fl,therapeutic_window,"PRE-DECISION CANDIDATE: Public safety profile included infections, hyperglycemia, hypertension, pneumonitis, neutropenia, and rash.",refuting,1.0,low,,copanlisib_fl:evidence,inferred,unknown,"[EXTRACTED — REVIEW] PRE-DECISION CANDIDATE: Public safety profile included infections, hyperglycemia, hypertension, pneumonitis, neutropenia, and rash.",extracted,draft,claim_evidence_atoms.extract_atoms_from_row heuristic,2026-07-05
copanlisib_fl:ther:1,copanlisib_fl,therapeutic_window,Need confirmatory-trial documents to separate safety-driven window issue from efficacy/confirmatory failure.,refuting,1.0,low,,copanlisib_fl:evidence,inferred,unknown,[EXTRACTED — REVIEW] Need confirmatory-trial documents to separate safety-driven window issue from efficacy/confirmatory failure.,extracted,draft,claim_evidence_atoms.extract_atoms_from_row heuristic,2026-07-05
idelalisib_fl_sll:ther:0,idelalisib_fl_sll,therapeutic_window,"PRE-DECISION CANDIDATE: Label/review summaries included serious and fatal toxicities including hepatotoxicity, severe diarrhea/colitis, pneumonitis, intestinal perforation and REMS/risk management.",refuting,1.0,low,,idelalisib_fl_sll:evidence,inferred,unknown,"[EXTRACTED — REVIEW] PRE-DECISION CANDIDATE: Label/review summaries included serious and fatal toxicities including hepatotoxicity, severe diarrhea/colitis, pneumonitis, intestinal perforation and REMS/risk management.",extracted,draft,claim_evidence_atoms.extract_atoms_from_row heuristic,2026-07-05
idelalisib_fl_sll:ther:1,idelalisib_fl_sll,therapeutic_window,Need primary FDA source.,neutral,1.0,low,,idelalisib_fl_sll:evidence,inferred,unknown,[EXTRACTED — REVIEW] Need primary FDA source.,extracted,draft,claim_evidence_atoms.extract_atoms_from_row heuristic,2026-07-05
taselisib_sandpiper:ther:0,taselisib_sandpiper,therapeutic_window,PRE-DECISION CANDIDATE: SANDPIPER program had expected PI3K inhibitor toxicities;,refuting,1.0,low,,taselisib_sandpiper:evidence,inferred,unknown,[EXTRACTED — REVIEW] PRE-DECISION CANDIDATE: SANDPIPER program had expected PI3K inhibitor toxicities;,extracted,draft,claim_evidence_atoms.extract_atoms_from_row heuristic,2026-07-05
taselisib_sandpiper:ther:1,taselisib_sandpiper,therapeutic_window,public summaries cite poor survival edge/harsh side effects and Roche stopped further development after top-line Phase 3 results.,neutral,1.0,low,,taselisib_sandpiper:evidence,inferred,unknown,[EXTRACTED — REVIEW] public summaries cite poor survival edge/harsh side effects and Roche stopped further development after top-line Phase 3 results.,extracted,draft,claim_evidence_atoms.extract_atoms_from_row heuristic,2026-07-05
taselisib_sandpiper:ther:2,taselisib_sandpiper,therapeutic_window,Need primary SANDPIPER publication extraction.,neutral,1.0,low,,taselisib_sandpiper:evidence,inferred,unknown,[EXTRACTED — REVIEW] Need primary SANDPIPER publication extraction.,extracted,draft,claim_evidence_atoms.extract_atoms_from_row heuristic,2026-07-05
buparlisib_belle:ther:0,buparlisib_belle,therapeutic_window,PRE-DECISION CANDIDATE: Pan-PI3K profile associated with excessive side effects;,neutral,1.0,low,,buparlisib_belle:evidence,inferred,unknown,[EXTRACTED — REVIEW] PRE-DECISION CANDIDATE: Pan-PI3K profile associated with excessive side effects;,extracted,draft,claim_evidence_atoms.extract_atoms_from_row heuristic,2026-07-05
buparlisib_belle:ther:1,buparlisib_belle,therapeutic_window,"BELLE-2/3 summaries report PFS signal but excessive toxicity, and BELLE-3 termination due to side effects.",refuting,1.0,low,,buparlisib_belle:evidence,inferred,unknown,"[EXTRACTED — REVIEW] BELLE-2/3 summaries report PFS signal but excessive toxicity, and BELLE-3 termination due to side effects.",extracted,draft,claim_evidence_atoms.extract_atoms_from_row heuristic,2026-07-05
buparlisib_belle:ther:2,buparlisib_belle,therapeutic_window,Need trial publication review.,neutral,1.0,low,,buparlisib_belle:evidence,inferred,unknown,[EXTRACTED — REVIEW] Need trial publication review.,extracted,draft,claim_evidence_atoms.extract_atoms_from_row heuristic,2026-07-05
poziotinib_exon20_nsclc:ther:0,poziotinib_exon20_nsclc,therapeutic_window,"PRE-DECISION CANDIDATE: Prior public data showed antitumor activity, but ODAC judged risk-benefit unfavorable;",confirming,1.0,low,,poziotinib_exon20_nsclc:evidence,inferred,unknown,"[EXTRACTED — REVIEW] PRE-DECISION CANDIDATE: Prior public data showed antitumor activity, but ODAC judged risk-benefit unfavorable;",extracted,draft,claim_evidence_atoms.extract_atoms_from_row heuristic,2026-07-05
poziotinib_exon20_nsclc:ther:1,poziotinib_exon20_nsclc,therapeutic_window,need FDA briefing to quantify rash/diarrhea/mucositis/dose reductions and whether dose intensity limited efficacy.,neutral,1.0,low,,poziotinib_exon20_nsclc:evidence,inferred,unknown,[EXTRACTED — REVIEW] need FDA briefing to quantify rash/diarrhea/mucositis/dose reductions and whether dose intensity limited efficacy.,extracted,draft,claim_evidence_atoms.extract_atoms_from_row heuristic,2026-07-05
mobocertinib_exclaim2:ther:0,mobocertinib_exclaim2,therapeutic_window,PRE-DECISION CANDIDATE: Label summaries included QTc prolongation warnings and prominent GI toxicity/diarrhea risk.,refuting,1.0,low,,mobocertinib_exclaim2:evidence,inferred,unknown,[EXTRACTED — REVIEW] PRE-DECISION CANDIDATE: Label summaries included QTc prolongation warnings and prominent GI toxicity/diarrhea risk.,extracted,draft,claim_evidence_atoms.extract_atoms_from_row heuristic,2026-07-05
mobocertinib_exclaim2:ther:1,mobocertinib_exclaim2,therapeutic_window,Need EXCLAIM-2 protocol/publication to determine whether tolerated exposure was the core failure vs efficacy/differentiation.,refuting,1.0,low,,mobocertinib_exclaim2:evidence,inferred,unknown,[EXTRACTED — REVIEW] Need EXCLAIM-2 protocol/publication to determine whether tolerated exposure was the core failure vs efficacy/differentiation.,extracted,draft,claim_evidence_atoms.extract_atoms_from_row heuristic,2026-07-05
