program_id,claim_type,claim_question,atom_id,evidence_span,proposed_direction,evidence_available,current_source_links,needed_primary_sources,source_type,primary_source_link,observed_vs_inferred,evidence_tier,direction,likelihood_ratio,limitations,extraction_review_status,review_status,reviewer,review_date
navitoclax_mpn,therapeutic_window,Was the efficacious dose achievable below the toxicity ceiling?,navitoclax_mpn:ther:0,PRE-DECISION CANDIDATE: Mechanism includes BCL-xL inhibition;,neutral,PRE-DECISION CANDIDATE: Mechanism includes BCL-xL inhibition; BCL-xL inhibition is linked to platelet lifespan reduction and clinically dose-limiting thrombocytopenia. Need primary protocol/review to confirm whether this specifically constrained intended efficacious exposure in MPN program.,https://en.wikipedia.org/wiki/Navitoclax,"FDA label (Adverse Reactions + Dosage/Administration); FDA medical/clinical review; ODAC briefing doc; EPAR; pivotal trial paper (DLTs, dose reductions); ClinicalTrials.gov results (SAEs, discontinuations)",,,,,,,,,,,
navitoclax_mpn,therapeutic_window,Was the efficacious dose achievable below the toxicity ceiling?,navitoclax_mpn:ther:1,BCL-xL inhibition is linked to platelet lifespan reduction and clinically dose-limiting thrombocytopenia.,refuting,PRE-DECISION CANDIDATE: Mechanism includes BCL-xL inhibition; BCL-xL inhibition is linked to platelet lifespan reduction and clinically dose-limiting thrombocytopenia. Need primary protocol/review to confirm whether this specifically constrained intended efficacious exposure in MPN program.,https://en.wikipedia.org/wiki/Navitoclax,"FDA label (Adverse Reactions + Dosage/Administration); FDA medical/clinical review; ODAC briefing doc; EPAR; pivotal trial paper (DLTs, dose reductions); ClinicalTrials.gov results (SAEs, discontinuations)",,,,,,,,,,,
navitoclax_mpn,therapeutic_window,Was the efficacious dose achievable below the toxicity ceiling?,navitoclax_mpn:ther:2,Need primary protocol/review to confirm whether this specifically constrained intended efficacious exposure in MPN program.,neutral,PRE-DECISION CANDIDATE: Mechanism includes BCL-xL inhibition; BCL-xL inhibition is linked to platelet lifespan reduction and clinically dose-limiting thrombocytopenia. Need primary protocol/review to confirm whether this specifically constrained intended efficacious exposure in MPN program.,https://en.wikipedia.org/wiki/Navitoclax,"FDA label (Adverse Reactions + Dosage/Administration); FDA medical/clinical review; ODAC briefing doc; EPAR; pivotal trial paper (DLTs, dose reductions); ClinicalTrials.gov results (SAEs, discontinuations)",,,,,,,,,,,
umbralisib_mzl_fl_cll,therapeutic_window,Was the efficacious dose achievable below the toxicity ceiling?,umbralisib_mzl_fl_cll:ther:0,"PRE-DECISION CANDIDATE: Public label/review summaries described serious safety liabilities including infections, neutropenia, diarrhea/noninfectious colitis, hepatotoxicity, and severe cutaneous reactions before market withdrawal decision.",refuting,"PRE-DECISION CANDIDATE: Public label/review summaries described serious safety liabilities including infections, neutropenia, diarrhea/noninfectious colitis, hepatotoxicity, and severe cutaneous reactions before market withdrawal decision. Need FDA label/ODAC packet extraction.",https://en.wikipedia.org/wiki/Umbralisib,"FDA label (Adverse Reactions + Dosage/Administration); FDA medical/clinical review; ODAC briefing doc; EPAR; pivotal trial paper (DLTs, dose reductions); ClinicalTrials.gov results (SAEs, discontinuations)",,,,,,,,,,,
umbralisib_mzl_fl_cll,therapeutic_window,Was the efficacious dose achievable below the toxicity ceiling?,umbralisib_mzl_fl_cll:ther:1,Need FDA label/ODAC packet extraction.,neutral,"PRE-DECISION CANDIDATE: Public label/review summaries described serious safety liabilities including infections, neutropenia, diarrhea/noninfectious colitis, hepatotoxicity, and severe cutaneous reactions before market withdrawal decision. Need FDA label/ODAC packet extraction.",https://en.wikipedia.org/wiki/Umbralisib,"FDA label (Adverse Reactions + Dosage/Administration); FDA medical/clinical review; ODAC briefing doc; EPAR; pivotal trial paper (DLTs, dose reductions); ClinicalTrials.gov results (SAEs, discontinuations)",,,,,,,,,,,
duvelisib_cll_sll_fl,therapeutic_window,Was the efficacious dose achievable below the toxicity ceiling?,duvelisib_cll_sll_fl:ther:0,"PRE-DECISION CANDIDATE: Known boxed-warning/serious toxicities include infections, diarrhea/colitis, pneumonitis, cutaneous reactions, and transaminase elevations;",refuting,"PRE-DECISION CANDIDATE: Known boxed-warning/serious toxicities include infections, diarrhea/colitis, pneumonitis, cutaneous reactions, and transaminase elevations; safety profile plausibly limited benefit-risk before later survival-warning update.",https://en.wikipedia.org/wiki/Duvelisib,"FDA label (Adverse Reactions + Dosage/Administration); FDA medical/clinical review; ODAC briefing doc; EPAR; pivotal trial paper (DLTs, dose reductions); ClinicalTrials.gov results (SAEs, discontinuations)",,,,,,,,,,,
duvelisib_cll_sll_fl,therapeutic_window,Was the efficacious dose achievable below the toxicity ceiling?,duvelisib_cll_sll_fl:ther:1,safety profile plausibly limited benefit-risk before later survival-warning update.,neutral,"PRE-DECISION CANDIDATE: Known boxed-warning/serious toxicities include infections, diarrhea/colitis, pneumonitis, cutaneous reactions, and transaminase elevations; safety profile plausibly limited benefit-risk before later survival-warning update.",https://en.wikipedia.org/wiki/Duvelisib,"FDA label (Adverse Reactions + Dosage/Administration); FDA medical/clinical review; ODAC briefing doc; EPAR; pivotal trial paper (DLTs, dose reductions); ClinicalTrials.gov results (SAEs, discontinuations)",,,,,,,,,,,
copanlisib_fl,therapeutic_window,Was the efficacious dose achievable below the toxicity ceiling?,copanlisib_fl:ther:0,"PRE-DECISION CANDIDATE: Public safety profile included infections, hyperglycemia, hypertension, pneumonitis, neutropenia, and rash.",refuting,"PRE-DECISION CANDIDATE: Public safety profile included infections, hyperglycemia, hypertension, pneumonitis, neutropenia, and rash. Need confirmatory-trial documents to separate safety-driven window issue from efficacy/confirmatory failure.",https://en.wikipedia.org/wiki/Copanlisib,"FDA label (Adverse Reactions + Dosage/Administration); FDA medical/clinical review; ODAC briefing doc; EPAR; pivotal trial paper (DLTs, dose reductions); ClinicalTrials.gov results (SAEs, discontinuations)",,,,,,,,,,,
copanlisib_fl,therapeutic_window,Was the efficacious dose achievable below the toxicity ceiling?,copanlisib_fl:ther:1,Need confirmatory-trial documents to separate safety-driven window issue from efficacy/confirmatory failure.,refuting,"PRE-DECISION CANDIDATE: Public safety profile included infections, hyperglycemia, hypertension, pneumonitis, neutropenia, and rash. Need confirmatory-trial documents to separate safety-driven window issue from efficacy/confirmatory failure.",https://en.wikipedia.org/wiki/Copanlisib,"FDA label (Adverse Reactions + Dosage/Administration); FDA medical/clinical review; ODAC briefing doc; EPAR; pivotal trial paper (DLTs, dose reductions); ClinicalTrials.gov results (SAEs, discontinuations)",,,,,,,,,,,
idelalisib_fl_sll,therapeutic_window,Was the efficacious dose achievable below the toxicity ceiling?,idelalisib_fl_sll:ther:0,"PRE-DECISION CANDIDATE: Label/review summaries included serious and fatal toxicities including hepatotoxicity, severe diarrhea/colitis, pneumonitis, intestinal perforation and REMS/risk management.",refuting,"PRE-DECISION CANDIDATE: Label/review summaries included serious and fatal toxicities including hepatotoxicity, severe diarrhea/colitis, pneumonitis, intestinal perforation and REMS/risk management. Need primary FDA source.",https://en.wikipedia.org/wiki/Idelalisib,"FDA label (Adverse Reactions + Dosage/Administration); FDA medical/clinical review; ODAC briefing doc; EPAR; pivotal trial paper (DLTs, dose reductions); ClinicalTrials.gov results (SAEs, discontinuations)",,,,,,,,,,,
